model,label,group,bin,n,mean_predicted,observed_rate,weighted_n
demographic_race_logistic,hba1c_pos,Other Hispanic,4,107,0.09927936262211583,0.121199838674629,3605231.398768614
demographic_race_logistic,hba1c_pos,Other Hispanic,5,181,0.20901271349222716,0.2419534766030806,3625500.3316445346
demographic_race_logistic,hba1c_pos,Non-Hispanic Asian,1,176,0.023276570420618526,0.0,2828907.9028546885
demographic_race_logistic,hba1c_pos,Non-Hispanic Asian,2,118,0.042616995249681135,0.02012692136852609,2790415.615818387
demographic_race_logistic,hba1c_pos,Non-Hispanic Asian,3,141,0.07706926038989625,0.04432181496736216,2813612.417816834
demographic_race_logistic,hba1c_pos,Non-Hispanic Asian,4,173,0.14103686777128402,0.20227710765377033,2815551.4013759866
demographic_race_logistic,hba1c_pos,Non-Hispanic Asian,5,188,0.29422996743243657,0.30952550289926045,2807804.624228607
demographic_race_logistic,hba1c_pos,Other/Multiracial,1,91,0.01732266418121859,0.0,2546224.0486725406
demographic_race_logistic,hba1c_pos,Other/Multiracial,2,65,0.03462302040639895,0.02510140184171901,2557762.990066369
demographic_race_logistic,hba1c_pos,Other/Multiracial,3,56,0.06481434020099928,0.036520126556067366,2544091.7905042255
demographic_race_logistic,hba1c_pos,Other/Multiracial,4,51,0.12272188130557561,0.11285795446892652,2405110.682894557
demographic_race_logistic,hba1c_pos,Other/Multiracial,5,78,0.22515460837910337,0.29124526403410217,2700992.7762314747
demographic_race_logistic,hba1c_pos,All groups,1,495,0.011100310175146228,0.007106115434889309,25306302.68579285
demographic_race_logistic,hba1c_pos,All groups,2,592,0.01793088952396293,0.027238392763344582,25406397.2677588
demographic_race_logistic,hba1c_pos,All groups,3,539,0.025506795652640885,0.006907960108345057,25357342.148961168
demographic_race_logistic,hba1c_pos,All groups,4,506,0.03602583445051714,0.02481425434374046,25307419.914600424
demographic_race_logistic,hba1c_pos,All groups,5,470,0.05011769659282994,0.04460659034594483,25398539.023468874
demographic_race_logistic,hba1c_pos,All groups,6,430,0.06995833103944037,0.10258267279199666,25359737.959911745
demographic_race_logistic,hba1c_pos,All groups,7,476,0.0956482780898889,0.09267887563053276,25328854.150965713
demographic_race_logistic,hba1c_pos,All groups,8,554,0.1290702107911832,0.1531706891965888,25386037.140105143
demographic_race_logistic,hba1c_pos,All groups,9,688,0.17704101846678577,0.1879805687639382,25358161.052991975
demographic_race_logistic,hba1c_pos,All groups,10,1123,0.2777708201316973,0.23938017082620003,25349013.254057012
